entity_type,name,sport,city,state,tier,cwg_2036_relevance,olympic_2032_relevance,digital_readiness,pipeline_stage,participants_or_capacity,frequency,age,gender,performance_level,funding_status,athletiq_opportunity_score,tags,notes,source_link
Event,Rajasthan Rural Sports Festival,Multi-Sport,Jodhpur,Rajasthan,Tier2,6.0,5.0,3.0,Discovery,1200.0,Annual,,Mixed,District,Unfunded,7.0,"rural-talent,multi-sport,discovery,tribal",Large participation from Rajasthani villages; wrestling and kabaddi dominate; minimal digital tracking,https://www.rajasthansports.org
Event,Kolkata District Table Tennis Open,Table Tennis,Kolkata,West Bengal,Metro,7.0,6.0,6.0,Development,180.0,Biannual,,Mixed,District,Partially_Funded,6.0,"CWG2036,table-tennis,urban",Strong TT culture in Bengal; Sharath Kamal effect boosting junior participation,https://www.ttfi.org
Event,Gujarat State Kabaddi League,Kabaddi,Ahmedabad,Gujarat,Tier1,7.0,3.0,5.0,Development,560.0,Annual,,Mixed,State,Partially_Funded,6.0,"CWG2036,kabaddi,commercial-potential",Pro Kabaddi League driving grassroots interest; Gujarat strong in both men's and women's kabaddi,https://www.prokabaddi.com
Event,Odisha State Hockey Championship,Hockey,Rourkela,Odisha,Tier2,9.0,7.0,5.0,Development,420.0,Annual,,Mixed,State,Partially_Funded,8.0,"CWG2036,hockey,tribal-talent",Odisha government heavily invested in hockey; Birsa Munda Stadium in Rourkela; Sundargarh hockey belt,https://www.hockeyindia.org
Event,Karnataka State Swimming Championship,Swimming,Bangalore,Karnataka,Metro,7.0,6.0,7.0,Development,280.0,Annual,,Mixed,State,Partially_Funded,6.0,"CWG2036,swimming,infrastructure",Bangalore has best swimming infrastructure in South India; growing competitive scene,https://www.swimmingfederation.in
Event,Assam State Boxing Championship,Boxing,Guwahati,Assam,Tier2,8.0,8.0,4.0,Development,220.0,Annual,,Mixed,State,Partially_Funded,7.0,"CWG2036,Olympic2032,northeast,boxing",NE boxing tradition strong in Assam; Shiva Thapa's home state; SAI centre in Guwahati,https://www.bfi.org.in
Event,Telangana State Badminton Open,Badminton,Hyderabad,Telangana,Metro,8.0,8.0,7.0,Development,340.0,Annual,,Mixed,State,Partially_Funded,7.0,"CWG2036,Olympic2032,badminton,Pullela-Academy",Hyderabad is India's badminton capital; Gopichand Academy nearby; deep talent pool,https://www.bai.org.in
Event,UP State Wrestling Championship,Wrestling,Lucknow,Uttar Pradesh,Tier1,9.0,8.0,4.0,Development,580.0,Annual,,Mixed,State,Partially_Funded,8.0,"CWG2036,Olympic2032,wrestling,large-participation",UP second largest wrestling state after Haryana; massive rural participation base,https://www.upsports.gov.in
Event,Chennai District Chess Tournament,Chess,Chennai,Tamil Nadu,Metro,7.0,5.0,8.0,Development,450.0,Monthly,,Mixed,District,Partially_Funded,6.0,"CWG2036,chess,Viswanathan-Anand-effect",Chennai is India's chess capital; 5 grandmasters from TN; monthly tournaments feed pipeline,https://www.aicf.in
Event,MP State Shooting Championship,Shooting,Bhopal,Madhya Pradesh,Tier1,9.0,10.0,6.0,Development,240.0,Annual,,Mixed,State,Partially_Funded,8.0,"Olympic2032,shooting,high-medal-potential",MP Academy of Shooting has produced multiple Olympians; Bhopal is shooting hub,https://www.nrai.in
Event,Hisar Village Dangal Circuit,Wrestling,Hisar,Haryana,Tier3,7.0,6.0,1.0,Discovery,200.0,Weekly,,Male,Village,Unfunded,7.0,"rural-talent,wrestling,village-dangal,pen-paper",Weekly dangals in Hisar villages; zero digital infrastructure; pure talent identification opportunity,https://www.haryanasports.gov.in
Event,Tata Mumbai Marathon Youth Run,Athletics,Mumbai,Maharashtra,Metro,7.0,7.0,9.0,Development,3200.0,Annual,,Mixed,National,Fully_Funded,7.0,"CWG2036,athletics,urban,well-funded",Youth category attracts emerging distance runners; fully digital race timing and tracking,https://www.tatamumbaimarathon.procam.in
Event,Jharkhand Tribal Archery Festival,Archery,Simdega,Jharkhand,Rural,7.0,7.0,2.0,Discovery,350.0,Annual,,Mixed,Village,Unfunded,8.0,"tribal-talent,archery,discovery,rural-talent",Tribal archery has centuries-old tradition; untapped talent for Olympic-style recurve archery,https://www.jharkhandsports.gov.in
Event,Patiala District Athletics Meet,Athletics,Patiala,Punjab,Tier2,8.0,7.0,5.0,Development,320.0,Annual,,Mixed,District,Partially_Funded,7.0,"CWG2036,athletics,NIS-Patiala",NIS Patiala nearby provides coaching expertise; district meets feed into state trials,https://www.nispatiala.nic.in
Event,Karnataka State Weightlifting Championship,Weightlifting,Mangalore,Karnataka,Tier2,8.0,8.0,5.0,Development,180.0,Annual,,Mixed,State,Partially_Funded,7.0,"CWG2036,Olympic2032,weightlifting",Mirabai Chanu effect driving weightlifting interest; Karnataka producing junior lifters,https://www.iwf.net
Event,West Bengal State Football Championship,Football,Siliguri,West Bengal,Tier2,7.0,5.0,5.0,Development,640.0,Annual,,Mixed,State,Partially_Funded,6.0,"CWG2036,football,Bengal-football-culture",Bengal has deepest football culture in India; Mohun Bagan/East Bengal feeder system,https://www.the-aiff.com
Event,Imphal District Boxing Open,Boxing,Imphal,Manipur,Tier2,9.0,9.0,3.0,Discovery,160.0,Biannual,,Mixed,District,Unfunded,8.0,"CWG2036,Olympic2032,boxing,northeast,discovery",Biannual district meet discovers raw talent from Manipur villages; many champions started here,https://www.bfi.org.in
Event,Chhattisgarh State Archery Championship,Archery,Raipur,Chhattisgarh,Tier2,7.0,7.0,3.0,Development,190.0,Annual,,Mixed,State,Unfunded,7.0,"archery,tribal-talent,emerging-state",Emerging archery state with tribal talent base; minimal infrastructure but raw skill pool,https://www.cgsports.gov.in
Event,Delhi NCR School Sports League,Multi-Sport,New Delhi,Delhi,Metro,7.0,6.0,8.0,Discovery,5200.0,Annual,,Mixed,District,Fully_Funded,6.0,"school-sports,multi-sport,urban,digital",Large-scale school sports covering 200+ schools; good digital infrastructure but saturated market,https://www.delhisports.gov.in
Event,Chandigarh Cycling Championship,Cycling,Chandigarh,Punjab,Tier1,7.0,6.0,6.0,Development,180.0,Annual,,Mixed,State,Partially_Funded,6.0,"CWG2036,cycling,emerging-sport",Cycling gaining popularity in North India; Chandigarh's cycling infrastructure supports growth,https://www.cyclingfederation.in
Event,Guwahati District Wrestling Meet,Wrestling,Guwahati,Assam,Tier2,7.0,6.0,3.0,Discovery,120.0,Annual,,Mixed,District,Unfunded,6.0,"wrestling,northeast,emerging",NE wrestling emerging; Assam produces some national-level wrestlers; needs investment,https://www.wfi.in
Event,Visakhapatnam Beach Kabaddi Tournament,Kabaddi,Visakhapatnam,Andhra Pradesh,Tier2,7.0,3.0,4.0,Discovery,240.0,Annual,,Mixed,District,Unfunded,5.0,"kabaddi,beach-sport,coastal",Unique beach kabaddi format; coastal AP has strong kabaddi tradition; tourism angle,https://www.prokabaddi.com
Event,Ludhiana Cycling Gran Fondo,Cycling,Ludhiana,Punjab,Tier2,6.0,5.0,5.0,Development,400.0,Annual,,Mixed,District,Partially_Funded,5.0,"cycling,Punjab,mass-participation",Mass participation cycling event; growing from 200 to 400 riders in 3 years,https://www.cyclingfederation.in
Event,Nagpur Inter-Academy Boxing Cup,Boxing,Nagpur,Maharashtra,Tier2,8.0,8.0,5.0,Development,180.0,Annual,,Mixed,State,Partially_Funded,7.0,"boxing,academy-circuit,development",Inter-academy format builds competitive depth; Nagpur emerging as Central India boxing hub,https://www.bfi.org.in
Event,Thiruvananthapuram State Volleyball Championship,Volleyball,Thiruvananthapuram,Kerala,Tier2,7.0,5.0,5.0,Development,320.0,Annual,,Mixed,State,Partially_Funded,5.0,"CWG2036,volleyball,Kerala",Kerala volleyball is culturally significant; strong inter-district competition,https://www.vfi.org.in
Event,Jaipur Royal Polo Cup,Polo,Jaipur,Rajasthan,Tier1,3.0,2.0,7.0,Elite,60.0,Annual,,Mixed,National,Fully_Funded,3.0,"niche-sport,heritage,elite",Heritage sport event; limited mass participation but high media visibility,https://www.rajpolo.com
Event,Bhubaneswar Hockey World League,Hockey,Bhubaneswar,Odisha,Metro,10.0,8.0,8.0,Elite,1200.0,Annual,,Mixed,International,Fully_Funded,8.0,"CWG2036,hockey,world-class-venue",Kalinga Stadium is world-class; Odisha government's hockey investment is model for other states,https://www.hockeyindia.org
Event,Bareilly District Kabaddi Tournament,Kabaddi,Bareilly,Uttar Pradesh,Tier3,6.0,3.0,2.0,Discovery,280.0,Annual,,Mixed,District,Unfunded,5.0,"kabaddi,UP,rural-talent,discovery",UP rural kabaddi tournaments are massive but poorly documented; talent slips through cracks,https://www.prokabaddi.com
Event,Shillong Archery Festival,Archery,Shillong,Meghalaya,Tier2,7.0,7.0,3.0,Discovery,200.0,Annual,,Mixed,District,Unfunded,7.0,"archery,northeast,tribal-talent,cultural",Khasi archery tradition; unique cultural heritage combined with competitive potential,https://www.meghalayasports.gov.in
Event,Indore State Badminton Open,Badminton,Indore,Madhya Pradesh,Tier2,7.0,7.0,6.0,Development,260.0,Annual,,Mixed,State,Partially_Funded,6.0,"CWG2036,badminton,MP",MP badminton gaining ground; Indore has good indoor stadium infrastructure,https://www.bai.org.in
Event,Varanasi Ganga Marathon,Athletics,Varanasi,Uttar Pradesh,Tier2,6.0,5.0,5.0,Development,1800.0,Annual,,Mixed,District,Partially_Funded,5.0,"athletics,marathon,cultural-tourism",Combines marathon with cultural tourism; attracts runners from across North India,https://www.varanasimarathon.com
Event,Jamshedpur Steel City Football Cup,Football,Jamshedpur,Jharkhand,Tier2,7.0,5.0,5.0,Development,320.0,Annual,,Mixed,State,Partially_Funded,6.0,"football,Tata-backed,industrial-town",Tata Steel supports local football; Jamshedpur FC academy feeds into ISL system,https://www.jamshedpurfc.com
Event,Kohima Hornbill Wrestling Championship,Wrestling,Kohima,Nagaland,Tier3,6.0,5.0,2.0,Discovery,100.0,Annual,,Male,State,Unfunded,6.0,"wrestling,Naga-tradition,cultural,northeast",Naga wrestling during Hornbill Festival; unique indigenous wrestling style with potential crossover,https://www.hornbillfestival.com
Event,Vijayawada District Swimming Meet,Swimming,Vijayawada,Andhra Pradesh,Tier2,6.0,5.0,4.0,Discovery,140.0,Annual,,Mixed,District,Unfunded,5.0,"swimming,AP,infrastructure-gap",Growing swimming interest but pool infrastructure limited; needs investment for competitive development,https://www.swimmingfederation.in
Event,Dehradun Inter-School Athletics Championship,Athletics,Dehradun,Uttarakhand,Tier2,7.0,6.0,5.0,Discovery,680.0,Annual,,Mixed,District,Partially_Funded,6.0,"athletics,school-sports,hill-talent",Hill region produces natural endurance athletes; altitude training advantage; school system well-organized,https://www.uttarakhandsports.gov.in
Event,Mysuru District Chess Open,Chess,Mysuru,Karnataka,Tier2,6.0,5.0,7.0,Development,220.0,Monthly,,Mixed,District,Partially_Funded,5.0,"chess,Karnataka,digital-ready",Monthly chess tournaments with digital rating tracking; Karnataka chess federation well-organized,https://www.kca.org.in
Event,Gwalior State Gymnastics Championship,Gymnastics,Gwalior,Madhya Pradesh,Tier2,7.0,6.0,4.0,Development,120.0,Annual,,Mixed,State,Partially_Funded,6.0,"CWG2036,gymnastics,emerging-sport",Dipa Karmakar's success inspiring gymnastics growth; MP investing in infrastructure,https://www.indiangymnastics.com
Event,Coimbatore District Weightlifting Meet,Weightlifting,Coimbatore,Tamil Nadu,Tier2,8.0,8.0,5.0,Development,150.0,Annual,,Mixed,District,Partially_Funded,7.0,"CWG2036,Olympic2032,weightlifting,TN",TN weightlifting growing; Coimbatore produces junior national medalists; Mirabai Chanu effect,https://www.iwlf.in
Event,Patna State Shooting Championship,Shooting,Patna,Bihar,Tier2,8.0,9.0,4.0,Development,140.0,Annual,,Mixed,State,Unfunded,7.0,"Olympic2032,shooting,emerging-state",Bihar shooting emerging; Shreyasi Singh from Bihar won CWG gold; infrastructure needs improvement,https://www.nrai.in
Event,Amritsar Heritage Hockey Festival,Hockey,Amritsar,Punjab,Tier2,8.0,6.0,4.0,Discovery,280.0,Annual,,Mixed,District,Partially_Funded,6.0,"CWG2036,hockey,heritage,Punjab",Heritage festival celebrating Punjab hockey tradition; veterans mentor young players,https://www.hockeyindia.org
Academy,Hari Om Wrestling Akhada,Wrestling,Sonipat,Haryana,Tier2,9.0,9.0,3.0,Development,85.0,,,Mixed,State,Partially_Funded,9.0,"CWG2036,Olympic2032,wrestling-akhada,Haryana",Mud-pit akhada with 40+ years history; produced 3 national champions; needs digital infrastructure upgrade,https://www.wfi.in
Academy,Chennai Shooting Academy,Shooting,Chennai,Tamil Nadu,Metro,9.0,10.0,7.0,Development,60.0,,,Mixed,National,Partially_Funded,8.0,"Olympic2032,shooting,south-india,established",10m and 50m ranges; electronic scoring; 2 Olympians trained here; strong coaching staff,https://www.nrai.in
Academy,Imphal Boxing Club,Boxing,Imphal,Manipur,Tier2,9.0,9.0,4.0,Development,45.0,,,Mixed,National,Partially_Funded,9.0,"CWG2036,Olympic2032,boxing,northeast,Mary-Kom-legacy",Mary Kom trained nearby; produces 5+ national medalists annually; basic but effective infrastructure,https://www.bfi.org.in
Academy,Kolkata Table Tennis Centre,Table Tennis,Kolkata,West Bengal,Metro,7.0,6.0,6.0,Development,40.0,,,Mixed,State,Partially_Funded,6.0,"CWG2036,table-tennis,urban,Bengal",4-table centre with coaching staff of 3; produces state-level players; digital ranking system,https://www.ttfi.org
Academy,Patiala Athletics Academy,Athletics,Patiala,Punjab,Tier2,8.0,8.0,7.0,Elite,70.0,,,Mixed,National,Fully_Funded,8.0,"CWG2036,Olympic2032,NIS-affiliated,athletics",Adjacent to NIS Patiala; access to world-class track and field facilities; SAI supported,https://www.nispatiala.nic.in
Academy,Bellary JSW Sports Academy,Multi-Sport,Bellary,Karnataka,Tier3,10.0,9.0,9.0,Elite,120.0,,,Mixed,International,Fully_Funded,9.0,"CWG2036,Olympic2032,world-class,JSW-backed",JSW Inspire Institute of Sport; Olympic-standard facilities; 8+ sports; international coaches,https://www.jsw.in/sports
Academy,Rohtak Wrestling Academy,Wrestling,Rohtak,Haryana,Tier3,9.0,8.0,3.0,Development,55.0,,,Male,State,Unfunded,8.0,"CWG2036,wrestling,rural-talent,unfunded",Traditional akhada modernizing; 2 SAI-certified coaches; needs equipment and digital tools,https://www.wfi.in
Academy,Bhopal Shooting Academy,Shooting,Bhopal,Madhya Pradesh,Tier1,9.0,10.0,7.0,Elite,50.0,,,Mixed,National,Fully_Funded,8.0,"Olympic2032,shooting,MP-Academy,medal-factory",Part of MP State Shooting Academy network; electronic targets; Olympian coaches on staff,https://www.nrai.in
Academy,Guwahati Boxing Training Centre,Boxing,Guwahati,Assam,Tier2,8.0,8.0,4.0,Development,40.0,,,Mixed,State,Partially_Funded,7.0,"CWG2036,Olympic2032,boxing,northeast",SAI-supported centre; 3 coaches including 1 international; ring and basic gym equipment,https://www.bfi.org.in
Academy,Jaipur Badminton Academy,Badminton,Jaipur,Rajasthan,Tier1,7.0,7.0,6.0,Development,50.0,,,Mixed,State,Partially_Funded,6.0,"CWG2036,badminton,north-India",4-court indoor facility; 2 national-level coaches; growing junior enrollment,https://www.bai.org.in
Academy,Sundargarh Hockey Academy,Hockey,Sundargarh,Odisha,Rural,9.0,7.0,3.0,Development,65.0,,,Mixed,National,Partially_Funded,9.0,"CWG2036,hockey,tribal-talent,Odisha-model",Tribal boys and girls from Sundargarh district; produced Indian team members; astroturf ground,https://www.hockeyindia.org
Academy,Karnal Weightlifting Centre,Weightlifting,Karnal,Haryana,Tier3,8.0,8.0,3.0,Development,30.0,,,Mixed,State,Unfunded,7.0,"CWG2036,Olympic2032,weightlifting,Haryana",Basic equipment but strong coaching; 1 NIS-certified coach; needs platform and modern weights,https://www.iwlf.in
Academy,Ranchi Archery School,Archery,Ranchi,Jharkhand,Tier2,8.0,8.0,5.0,Development,50.0,,,Mixed,National,Partially_Funded,8.0,"CWG2036,Olympic2032,archery,Deepika-Kumari-school",Deepika Kumari's legacy drives enrollment; SAI-supported; recurve and compound training,https://www.archeryassociationofindia.org
Academy,Thiruvananthapuram Athletics Club,Athletics,Thiruvananthapuram,Kerala,Tier2,8.0,7.0,5.0,Development,55.0,,,Mixed,State,Partially_Funded,7.0,"CWG2036,athletics,Kerala,sprinting",Kerala produces sprinters and jumpers; synthetic track access; 2 experienced coaches,https://www.keralasports.org
Academy,Ludhiana Hockey Academy,Hockey,Ludhiana,Punjab,Tier2,9.0,7.0,4.0,Development,60.0,,,Mixed,State,Partially_Funded,7.0,"CWG2036,hockey,Punjab-tradition",Strong local hockey tradition; astroturf ground; 2 former Olympians as visiting coaches,https://www.hockeyindia.org
Academy,Vijayanagar Wrestling Centre,Wrestling,Hospet,Karnataka,Tier3,8.0,7.0,3.0,Development,35.0,,,Male,District,Unfunded,7.0,"wrestling,south-India,emerging,discovery",South India wrestling emerging; Karnataka kushti tradition; needs modern equipment,https://www.wfi.in
Academy,Hyderabad Badminton Academy,Badminton,Hyderabad,Telangana,Metro,9.0,9.0,8.0,Elite,75.0,,,Mixed,International,Fully_Funded,8.0,"CWG2036,Olympic2032,Gopichand-model,world-class",Inspired by Gopichand Academy model; 6 courts; international coaching staff; well-funded,https://www.bai.org.in
Academy,Bhiwani Boxing Academy,Boxing,Bhiwani,Haryana,Tier3,9.0,9.0,3.0,Development,40.0,,,Mixed,National,Partially_Funded,9.0,"CWG2036,Olympic2032,boxing-nursery,Bhiwani",Bhiwani is Mini Cuba of boxing; produced Vijender Singh; basic but battle-tested facility,https://www.bfi.org.in
Academy,Pune Swimming Club,Swimming,Pune,Maharashtra,Metro,7.0,6.0,7.0,Development,80.0,,,Mixed,State,Partially_Funded,6.0,"CWG2036,swimming,urban,Pune",50m Olympic pool; 4 certified coaches; strong junior program; digital timing system,https://www.swimmingfederation.in
Academy,Manipur Weightlifting Academy,Weightlifting,Imphal,Manipur,Tier2,9.0,9.0,4.0,Development,35.0,,,Mixed,National,Partially_Funded,9.0,"CWG2036,Olympic2032,weightlifting,Mirabai-legacy",Mirabai Chanu's legacy; NE weightlifting powerhouse; SAI-supported; needs modern platform,https://www.iwlf.in
Academy,Dharamshala Cricket & Athletics Academy,Athletics,Dharamshala,Himachal Pradesh,Tier3,7.0,6.0,4.0,Development,45.0,,,Mixed,State,Partially_Funded,6.0,"athletics,hill-station,altitude-training",Altitude training advantage for middle-distance runners; scenic location attracts trainees,https://www.hpsports.gov.in
Academy,Nagpur Judo Centre,Judo,Nagpur,Maharashtra,Tier2,8.0,7.0,5.0,Development,30.0,,,Mixed,State,Partially_Funded,6.0,"CWG2036,judo,central-India",2 tatami mats; NIS-certified coach; produces state medalists; growing enrollment,https://www.judoindia.org
Academy,Shivaji Kushti Kendra,Wrestling,Sangli,Maharashtra,Tier3,8.0,7.0,3.0,Development,40.0,,,Mixed,District,Unfunded,7.0,"wrestling,Maharashtra-kushti,rural-talent",Traditional Maharashtra kushti centre; red soil akhada; 50+ years of tradition,https://www.wfi.in
Academy,Thoubal Boxing Club,Boxing,Thoubal,Manipur,Rural,8.0,8.0,2.0,Discovery,25.0,,,Mixed,District,Unfunded,8.0,"boxing,northeast,rural-talent,discovery",Rural boxing club run by former state boxer; produces raw talent with minimal resources,https://www.bfi.org.in
Academy,Vizag Swimming Academy,Swimming,Visakhapatnam,Andhra Pradesh,Tier2,7.0,6.0,5.0,Development,45.0,,,Mixed,State,Partially_Funded,5.0,"CWG2036,swimming,coastal,AP",Coastal training advantage; 25m pool; 2 coaches; growing competitive culture,https://www.swimmingfederation.in
Academy,Coimbatore Chess Academy,Chess,Coimbatore,Tamil Nadu,Tier2,7.0,5.0,8.0,Development,60.0,,,Mixed,State,Partially_Funded,6.0,"chess,TN,digital-ready,Viswanathan-Anand",Fully digital with online and offline coaching; produces FIDE-rated players; TN chess belt,https://www.aicf.in
Academy,Rourkela Hockey Training Centre,Hockey,Rourkela,Odisha,Tier2,9.0,7.0,5.0,Development,55.0,,,Mixed,National,Partially_Funded,8.0,"CWG2036,hockey,Odisha-model,Kalinga",Adjacent to Birsa Munda Hockey Stadium; Odisha government fully backs hockey development,https://www.hockeyindia.org
Academy,Jammu Wrestling Academy,Wrestling,Jammu,Jammu & Kashmir,Tier2,8.0,7.0,3.0,Development,30.0,,,Mixed,State,Unfunded,7.0,"wrestling,J&K,emerging,border-region",J&K wrestling growing; mountain-region athletes have natural strength; needs modern facilities,https://www.wfi.in
Academy,Madurai Athletics Training Centre,Athletics,Madurai,Tamil Nadu,Tier2,8.0,7.0,5.0,Development,50.0,,,Mixed,State,Partially_Funded,7.0,"CWG2036,athletics,TN,south-India",South TN athletics hub; produces sprinters and shot-putters; university-affiliated,https://www.tnasports.org
Academy,Cuttack Football Academy,Football,Cuttack,Odisha,Tier2,7.0,5.0,5.0,Development,55.0,,,Mixed,State,Partially_Funded,6.0,"football,Odisha,youth-development",Odisha football growing; ISL team East Bengal scouting from here; 2 licensed coaches,https://www.the-aiff.com
Academy,Ernakulam Kayaking Club,Canoeing,Kochi,Kerala,Tier1,7.0,6.0,5.0,Development,25.0,,,Mixed,State,Partially_Funded,6.0,"CWG2036,canoeing,Kerala-waterways",Kerala's waterways ideal for canoeing training; niche sport with medal potential at CWG,https://www.canoeingfederation.in
Academy,Gandhinagar Archery Centre,Archery,Gandhinagar,Gujarat,Tier1,7.0,7.0,5.0,Development,35.0,,,Mixed,State,Partially_Funded,6.0,"archery,Gujarat,emerging",New archery facility; 2 coaches; compound and recurve training; Gujarat government supported,https://www.gujaratsports.gov.in
Academy,Varanasi Wrestling Akhada,Wrestling,Varanasi,Uttar Pradesh,Tier2,8.0,7.0,2.0,Discovery,40.0,,,Male,District,Unfunded,7.0,"wrestling,UP,traditional-akhada,heritage",Historic akhada near ghats; 60+ year tradition; mud-pit wrestling; produces district champions,https://www.wfi.in
Academy,Shillong Archery Academy,Archery,Shillong,Meghalaya,Tier2,7.0,7.0,3.0,Development,30.0,,,Mixed,State,Unfunded,7.0,"archery,northeast,Khasi-tradition",Khasi archery tradition modernized; recurve training; state government grant pending,https://www.meghalayasports.gov.in
Academy,Bhubaneswar Athletics Centre,Athletics,Bhubaneswar,Odisha,Tier1,8.0,7.0,6.0,Development,65.0,,,Mixed,State,Partially_Funded,7.0,"CWG2036,athletics,Odisha,Kalinga",Part of Kalinga Stadium complex; synthetic track; 3 SAI coaches; feeds into national camps,https://www.odishasports.gov.in
Academy,Amritsar Gatka & Wrestling Academy,Wrestling,Amritsar,Punjab,Tier2,7.0,6.0,3.0,Development,30.0,,,Male,District,Unfunded,6.0,"wrestling,Punjab,gatka,traditional",Combines Sikh martial art Gatka with modern wrestling; cultural preservation meets competitive sport,https://www.punjabsports.gov.in
Academy,Rajkot Cricket & Athletics Academy,Athletics,Rajkot,Gujarat,Tier2,7.0,6.0,5.0,Development,55.0,,,Mixed,State,Partially_Funded,6.0,"athletics,Gujarat,multi-sport",Track and field focus; 400m synthetic track; 2 NIS coaches; growing competitive program,https://www.gujaratsports.gov.in
Academy,Agartala Boxing Club,Boxing,Agartala,Tripura,Tier3,8.0,7.0,3.0,Discovery,20.0,,,Mixed,District,Unfunded,7.0,"boxing,northeast,emerging,Tripura",Small but producing district champions; NE boxing culture extending to Tripura; needs equipment,https://www.bfi.org.in
Academy,Dharwad Kabaddi Academy,Kabaddi,Dharwad,Karnataka,Tier3,7.0,3.0,4.0,Development,40.0,,,Mixed,State,Partially_Funded,5.0,"kabaddi,Karnataka,PKL-feeder",North Karnataka kabaddi tradition; produces Pro Kabaddi talent; 2 coaches,https://www.prokabaddi.com
Academy,Dehradun Shooting Range,Shooting,Dehradun,Uttarakhand,Tier2,9.0,10.0,6.0,Development,30.0,,,Mixed,State,Partially_Funded,8.0,"Olympic2032,shooting,hill-state,emerging",10m electronic range; military influence in coaching; Doon Valley shooting culture; 1 NIS coach,https://www.nrai.in
Academy,Punjab FC,Football,Mohali,Punjab,Tier1,6.0,5.0,8.0,Onboarding,120.0,Daily,16.0,Mixed,AIFF Accredited Academy,Partially_Funded,8.0,"academy,football,accredited,aiff,punjab-fc","Age Groups: U-12, U-13, U-14, U-15, U-16, U-18 | Competitions: , Indian Football League, , Second Division League, , AIFF Elite League, , AIFF Junior League, , AIFF Sub Junior League, , Hero Super Cup | Medical: Medical Provisions:Status, Physiotherapist:No, Full sized Football Pitches:No, Small sized Football Pitches:No | Logo: https://aiff.b-cdn.net/logos/sm_11135-logo_small-1757679563.png | Website: nan",https://www.the-aiff.com/club/11135
